Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
West Midlands,Dairy,F,"3,477","3,583","3,685","4,297","4,890","5,184","4,314","4,298","4,680","3,614","3,761","3,142","3,317","3,509","3,306","3,959","4,002","4,553","4,759","4,889","4,354","4,405","4,580","4,145","4,146","3,709","3,713","48,013","48,709","13,549"
,,M,"2,823","2,367","2,878","3,140","3,149","3,711","3,317","2,996","3,832","2,895","2,742","2,742","2,624","2,805","2,601","3,275","3,113","3,389","3,593","3,690","3,406","3,094","3,534","2,878","3,340","2,475","2,948","36,523","36,413","10,421"
,Non Dairy,F,"3,912","3,829","4,025","5,113","4,994","5,800","9,788","9,718","10,220","10,712","10,933","8,331","8,641","6,396","6,373","5,630","5,316","4,663","4,577","4,795","4,523","4,211","4,159","3,567","3,760","3,472","3,653","70,590","70,476","20,045"
,,M,"4,178","3,893","4,196","5,016","5,113","5,842","9,923","10,276","10,479","10,988","11,217","8,781","9,088","6,751","6,665","5,912","5,570","4,975","4,827","4,931","4,789","4,296","4,567","3,752","4,033","3,433","3,703","72,936","73,741","20,517"
Yorkshire and the Humber,Dairy,F,"1,825","1,990","1,920","1,697","1,751","1,853","2,052","2,054","2,011","1,910","1,976","1,874","1,937","2,206","2,124","2,722","2,541","2,887","2,665","2,819","2,553","2,422","2,561","2,308","2,196","2,121","2,192","26,843","26,540","5,784"
,,M,"1,638","1,490","1,566","1,524","1,501","1,488","1,829","1,686","1,778","1,628","1,658","1,702","1,643","1,870","1,780","2,343","2,197","2,501","2,227","2,354","2,137","1,962","2,102","1,835","1,889","1,665","1,722","22,851","22,032","4,832"
,Non Dairy,F,"2,969","3,220","3,146","3,725","4,024","4,537","7,697","7,750","7,884","8,617","8,864","7,061","6,972","4,601","4,642","3,819","3,674","3,224","2,949","2,896","2,639","2,594","2,594","2,575","2,533","2,571","2,473","52,349","52,334","15,567"
,,M,"3,040","3,181","3,210","3,729","3,870","4,502","7,834","7,783","7,854","8,971","9,172","7,174","7,203","4,843","4,838","3,958","3,954","3,144","3,003","3,014","2,911","2,759","2,792","2,659","2,615","2,529","2,687","53,654","54,009","15,566"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breed,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,,,2010,2011,2012,2010,2011,2012,2010,2011,2012,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2012
 ABERDEEN ANGUS , Non Dairy , F ,"1,002","1,051","1,086","1,572","1,569","2,075","3,855","4,049","4,175","4,920","5,065","3,326","3,703","2,067","2,091","1,445","1,533","1,165","1,213","1,034","1,131",941,953,811,961,720,641,"22,858","23,960","7,336"
,, M ,996,"1,036","1,127","1,576","1,649","2,140","4,107","4,198","4,396","5,075","5,502","3,596","3,951","2,226","2,274","1,547","1,579","1,332","1,337","1,167","1,148",956,"1,073",866,"1,017",825,741,"24,269","25,505","7,663"
 ABERDEEN ANGUS X , Non Dairy , F ,"4,448","4,694","5,275","6,615","6,547","8,116","13,853","14,415","15,540","15,476","16,763","12,534","13,483","7,804","8,261","6,519","7,125","6,531","6,837","6,520","6,349","5,558","6,333","5,331","5,701","4,500","4,669","95,689","101,177","28,931"
,, M ,"4,530","5,049","5,561","6,620","6,949","8,613","14,371","15,038","16,390","16,424","17,545","13,211","14,443","8,336","8,920","7,154","7,631","6,835","7,238","6,856","6,534","5,871","6,566","5,455","6,165","4,714","4,920","100,377","106,998","30,564"
 ANGLER ROTVIEH , Non Dairy , F ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,, M ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 ANGLER ROTVIEH X , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,25,0,0,0,0,0,0,0,36,0,0
,, M ,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,18,0,25,0,0,4,0,0,0,0,46,6,1
 ANKOLE , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
,, M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
 ARMORICAINE , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 ARMORICAINE X , Non Dairy , F ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 AUBRAC , Non Dairy , F ,0,0,0,0,0,1,9,10,10,5,7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,18,11
,, M ,0,0,0,0,0,0,6,6,10,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10
 AUBRAC X , Non Dairy , F ,0,0,0,0,0,0,4,0,1,2,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,8,5,1
,, M ,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,8,5,0
 AUSTRALIAN LOWLINE , Dairy , F ,0,0,1,1,2,0,3,1,2,1,1,0,1,0,3,0,1,0,1,1,0,1,0,0,3,1,2,8,15,3
,, M ,0,0,1,0,1,1,0,0,0,1,3,1,1,1,4,1,1,0,2,1,0,0,1,2,1,1,1,8,15,2
 AYRSHIRE , Dairy , F ,517,539,515,550,544,617,750,714,789,670,646,602,616,609,619,714,716,752,774,856,721,690,737,628,691,595,596,"7,933","7,913","1,921"
,, M ,290,189,284,315,200,353,460,348,488,369,367,343,361,394,355,432,436,418,518,524,484,299,422,325,381,281,316,"4,450","4,377","1,125"
 AYRSHIRE X , Dairy , F ,109,139,121,169,219,233,177,199,268,133,184,167,180,126,148,160,120,154,216,201,161,168,114,123,122,102,133,"1,789","1,935",622
,, M ,62,56,58,135,105,188,132,123,159,90,115,69,97,78,80,115,84,93,125,129,111,91,75,59,65,52,66,"1,105","1,102",405
 BALTATA ROMANEASCA , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0
,, M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0
 BAZADAISE , Non Dairy , F ,21,18,13,22,21,9,24,22,17,51,73,44,25,20,27,22,21,18,14,22,13,11,8,8,11,11,8,274,261,39
,, M ,18,17,9,14,16,16,24,24,13,44,68,25,27,21,23,18,22,12,18,16,17,5,16,9,6,10,4,216,258,38
